true_class,predicted_class,count
German Shorthaired,Japanese Chin,5
German Shorthaired,Newfoundland,5
Scottish Terrier,Chihuahua,5
Scottish Terrier,Bombay,5
Beagle,Boxer,5
Samoyed,Havanese,5
Leonberger,Boxer,5
Japanese Chin,Saint Bernard,5
English Setter,Beagle,5
Bombay,Basset Hound,5
Boxer,Abyssinian,5
English Setter,English Cocker Spaniel,5
Bombay,Russian Blue,5
Sphynx,Wheaten Terrier,5
Shiba Inu,Wheaten Terrier,5
English Cocker Spaniel,English Setter,5
Shiba Inu,Persian,5
Boxer,English Cocker Spaniel,5
Boxer,Beagle,5
Siamese,Pug,5
Chihuahua,Saint Bernard,5
Sphynx,Basset Hound,5
Egyptian Mau,Japanese Chin,5
British Shorthair,Abyssinian,5
British Shorthair,Maine Coon,5
Abyssinian,Ragdoll,5
Sphynx,American Bulldog,5
Yorkshire Terrier,Basset Hound,5
Yorkshire Terrier,Beagle,5
Abyssinian,Maine Coon,4
Abyssinian,Egyptian Mau,4
Pug,American Pit Bull Terrier,4
Sphynx,German Shorthaired,4
Chihuahua,Sphynx,4
Pomeranian,Samoyed,4
Pomeranian,Saint Bernard,4
Pomeranian,Shiba Inu,4
Pug,American Bulldog,4
American Pit Bull Terrier,Newfoundland,4
Ragdoll,American Pit Bull Terrier,4
British Shorthair,Beagle,4
Boxer,Pug,4
Sphynx,Chihuahua,4
Sphynx,Boxer,4
British Shorthair,Keeshond,4
British Shorthair,Ragdoll,4
Chihuahua,Pug,4
Chihuahua,Great Pyrenees,4
Egyptian Mau,American Pit Bull Terrier,4
Persian,Samoyed,4
Persian,Abyssinian,4
Ragdoll,British Shorthair,4
Shiba Inu,Yorkshire Terrier,4
Ragdoll,Havanese,4
Egyptian Mau,Chihuahua,4
Siamese,American Pit Bull Terrier,4
Sphynx,Maine Coon,4
Newfoundland,Scottish Terrier,4
Sphynx,Shiba Inu,4
Siamese,Wheaten Terrier,4
Pomeranian,British Shorthair,4
Persian,Japanese Chin,4
Sphynx,Ragdoll,4
American Bulldog,Sphynx,4
English Cocker Spaniel,Miniature Pinscher,4
English Cocker Spaniel,Pomeranian,4
Newfoundland,Russian Blue,4
Miniature Pinscher,Newfoundland,4
Shiba Inu,Chihuahua,4
Newfoundland,Miniature Pinscher,4
Miniature Pinscher,Saint Bernard,4
Egyptian Mau,Sphynx,4
Wheaten Terrier,Ragdoll,4
Wheaten Terrier,Maine Coon,4
Egyptian Mau,Russian Blue,4
English Cocker Spaniel,Shiba Inu,4
Newfoundland,British Shorthair,4
Ragdoll,Pug,4
Japanese Chin,American Bulldog,4
Bengal,Boxer,4
Yorkshire Terrier,English Cocker Spaniel,4
Pug,English Cocker Spaniel,4
American Bulldog,Havanese,4
American Pit Bull Terrier,American Bulldog,4
Yorkshire Terrier,American Pit Bull Terrier,4
Yorkshire Terrier,Bengal,4
Yorkshire Terrier,German Shorthaired,4
Havanese,Pug,4
Birman,American Bulldog,4
Beagle,Staffordshire Bull Terrier,4
Japanese Chin,German Shorthaired,4
Bengal,Persian,4
Japanese Chin,English Setter,4
Japanese Chin,Basset Hound,4
Japanese Chin,American Pit Bull Terrier,4
Japanese Chin,Siamese,4
Wheaten Terrier,American Pit Bull Terrier,4
Wheaten Terrier,Beagle,4
Keeshond,Havanese,4
Keeshond,English Setter,4
Great Pyrenees,English Setter,4
Keeshond,Japanese Chin,4
Bengal,Basset Hound,4
Great Pyrenees,Pug,4
Scottish Terrier,Japanese Chin,4
Birman,Great Pyrenees,4
Leonberger,Keeshond,4
Saint Bernard,Shiba Inu,4
German Shorthaired,English Setter,4
German Shorthaired,Havanese,4
Basset Hound,Shiba Inu,4
Maine Coon,Bengal,4
Leonberger,Wheaten Terrier,4
