true_class,predicted_class,count
German Shorthaired,Great Pyrenees,1
German Shorthaired,British Shorthair,1
German Shorthaired,Bombay,1
English Setter,Yorkshire Terrier,1
German Shorthaired,Yorkshire Terrier,1
German Shorthaired,Sphynx,1
English Cocker Spaniel,Samoyed,1
English Cocker Spaniel,Keeshond,1
English Cocker Spaniel,Japanese Chin,1
English Cocker Spaniel,Great Pyrenees,1
Shiba Inu,Samoyed,1
Shiba Inu,Ragdoll,1
Shiba Inu,Pug,1
Shiba Inu,Leonberger,1
Shiba Inu,Great Pyrenees,1
Shiba Inu,English Setter,1
Shiba Inu,Egyptian Mau,1
English Setter,British Shorthair,1
English Cocker Spaniel,Wheaten Terrier,1
English Cocker Spaniel,Siamese,1
English Setter,Wheaten Terrier,1
English Setter,Russian Blue,1
Egyptian Mau,Birman,1
Egyptian Mau,Bengal,1
Egyptian Mau,Beagle,1
Egyptian Mau,Basset Hound,1
Siamese,German Shorthaired,1
Siamese,English Setter,1
Siamese,American Bulldog,1
Shiba Inu,Siamese,1
Shiba Inu,Scottish Terrier,1
English Cocker Spaniel,Bengal,1
Egyptian Mau,Wheaten Terrier,1
Egyptian Mau,Staffordshire Bull Terrier,1
Egyptian Mau,Siamese,1
Egyptian Mau,Samoyed,1
Egyptian Mau,Saint Bernard,1
Egyptian Mau,Pug,1
British Shorthair,Shiba Inu,1
Egyptian Mau,American Bulldog,1
Chihuahua,Scottish Terrier,1
Chihuahua,Russian Blue,1
Chihuahua,Newfoundland,1
Chihuahua,Japanese Chin,1
Siamese,Saint Bernard,1
Siamese,Pomeranian,1
Siamese,Persian,1
Siamese,Miniature Pinscher,1
Siamese,Maine Coon,1
Siamese,Leonberger,1
Siamese,Japanese Chin,1
Egyptian Mau,Pomeranian,1
Egyptian Mau,English Setter,1
Egyptian Mau,Bombay,1
Boxer,Staffordshire Bull Terrier,1
Boxer,Siamese,1
Boxer,Samoyed,1
Sphynx,Keeshond,1
Sphynx,English Setter,1
Sphynx,Birman,1
Sphynx,Bengal,1
British Shorthair,Scottish Terrier,1
British Shorthair,Pug,1
British Shorthair,Pomeranian,1
British Shorthair,Persian,1
British Shorthair,Japanese Chin,1
British Shorthair,German Shorthaired,1
British Shorthair,English Cocker Spaniel,1
Chihuahua,Bombay,1
Chihuahua,Bengal,1
Bombay,Japanese Chin,1
Boxer,Persian,1
Boxer,Leonberger,1
Boxer,Keeshond,1
Boxer,Great Pyrenees,1
Boxer,Chihuahua,1
Boxer,British Shorthair,1
Boxer,Birman,1
Boxer,Bengal,1
Staffordshire Bull Terrier,Bombay,1
Staffordshire Bull Terrier,Abyssinian,1
Sphynx,Yorkshire Terrier,1
Sphynx,Siamese,1
British Shorthair,Bombay,1
British Shorthair,American Bulldog,1
Boxer,Yorkshire Terrier,1
Birman,German Shorthaired,1
Birman,English Setter,1
Birman,Boxer,1
Staffordshire Bull Terrier,Leonberger,1
Staffordshire Bull Terrier,Great Pyrenees,1
Staffordshire Bull Terrier,Boxer,1
Bombay,Chihuahua,1
Bombay,Boxer,1
Bombay,Birman,1
Bombay,American Pit Bull Terrier,1
Bombay,Abyssinian,1
Birman,Wheaten Terrier,1
Birman,Staffordshire Bull Terrier,1
Birman,Shiba Inu,1
Bombay,Yorkshire Terrier,1
Bombay,Miniature Pinscher,1
Beagle,Leonberger,1
Beagle,Great Pyrenees,1
Beagle,Chihuahua,1
Wheaten Terrier,Chihuahua,1
Staffordshire Bull Terrier,Sphynx,1
Staffordshire Bull Terrier,Samoyed,1
Bengal,Leonberger,1
Beagle,Sphynx,1
Birman,American Pit Bull Terrier,1
Bengal,Wheaten Terrier,1
Bengal,Samoyed,1
Bengal,Russian Blue,1
Bengal,Pomeranian,1
Birman,Saint Bernard,1
Birman,Keeshond,1
Birman,Havanese,1
Abyssinian,Yorkshire Terrier,1
Abyssinian,Bombay,1
Yorkshire Terrier,Egyptian Mau,1
Yorkshire Terrier,Chihuahua,1
Wheaten Terrier,Yorkshire Terrier,1
Wheaten Terrier,Sphynx,1
Wheaten Terrier,Saint Bernard,1
American Bulldog,Persian,1
American Bulldog,Maine Coon,1
American Bulldog,Leonberger,1
American Bulldog,Keeshond,1
American Bulldog,Chihuahua,1
American Bulldog,Boxer,1
American Pit Bull Terrier,Boxer,1
American Bulldog,Russian Blue,1
American Bulldog,Ragdoll,1
Pomeranian,Wheaten Terrier,1
Pomeranian,Siamese,1
Pomeranian,Scottish Terrier,1
Pomeranian,Russian Blue,1
Pomeranian,Great Pyrenees,1
Pug,Miniature Pinscher,1
Pug,Leonberger,1
Pug,Japanese Chin,1
Pug,British Shorthair,1
Pug,Bombay,1
Yorkshire Terrier,Scottish Terrier,1
Yorkshire Terrier,Samoyed,1
Yorkshire Terrier,Maine Coon,1
Yorkshire Terrier,Keeshond,1
Yorkshire Terrier,English Setter,1
American Bulldog,Beagle,1
